WaitTimeDelay,Average_Process_Time,Range_Process_Time,StandardDeviation_Process_Time,Average_Elapsed_Time,Range_Elapsed_Time,StandardDeviation_ElapsedTime,Correctness,Timeout
0,0.0797312,0.06750099999999999,0.02926448837242845,0.029492136603221298,0.05342918599490076,0.02209725092457316,True,True
0.08,0.054638400000000004,0.009847999999999996,0.003692979596477618,0.41980291620129717,0.0012992400443181396,0.0005051959710148693,True,True
0.16,0.0555466,0.005517000000000008,0.002172517502806366,0.8203098960104398,0.002803242939990014,0.0011533497056903914,True,True
0.24,0.057200799999999996,0.006972999999999993,0.0028467050602406963,1.220878182980232,0.0016099689528346062,0.0006252749134592599,True,True
0.32,0.0578272,0.012029000000000012,0.004800235275483906,1.6209953217883595,0.0036967769847251475,0.0015057388489928243,True,True
0.4,0.0566846,0.014305000000000012,0.005529347230912528,2.020012939197477,0.005208708986174315,0.002119064258250212,True,True
0.48000000000000004,0.057293,0.008787999999999997,0.0035053241647528123,2.420768656616565,0.0008070840267464519,0.0003042484792414163,True,True
0.56,0.0571874,0.008273999999999997,0.0036714671862894256,2.820568037789781,0.001654569001402706,0.0007263963168762439,True,True
0.64,0.056150799999999994,0.006211999999999995,0.0024851622079856248,3.2205642590182832,0.0024619800387881696,0.0009118652830173939,True,True
0.72,0.059510999999999994,0.014735999999999999,0.005995053210773028,3.6218330340110696,0.00830853299703449,0.0031103851412596028,True,True
0.7999999999999999,0.0562294,0.011494000000000004,0.004470633042422517,4.018987757409922,0.004749613057356328,0.0019052333865596,True,True
