Message_Delay_Rate,Average_Process_Time,Range_Process_Time,StandardDeviation_Process_Time,Average_Elapsed_Time,Range_Elapsed_Time,StandardDeviation_ElapsedTime,Correctness,Timeout
0,0.067537,0.01657900000000001,0.007064399408300752,0.016042552399449052,0.004488474049139768,0.0018366046915517095,True,True
0.08,0.013419599999999999,0.004318000000000001,0.0016608199179923159,0.08899120721034706,0.002344377979170531,0.0009270920421161485,True,True
0.16,0.0125162,0.0021169999999999974,0.0009232357228790485,0.16887587379897012,0.0010742489830590785,0.00041345584064331474,True,True
0.24,0.0130046,0.0019869999999999922,0.000823622971996287,0.24898580480366944,0.0009314490016549826,0.00033947497915439654,True,True
0.32,0.024579200000000002,0.057035000000000016,0.024943697424399624,0.32855183518258857,0.0031863360200077295,0.0011955911371388228,True,True
0.4,0.014443999999999999,0.002174000000000004,0.0009219143127210912,0.4093044957728125,0.0011937730014324188,0.0005166477325299201,True,True
0.48000000000000004,0.0129108,0.0029670000000000044,0.0011368696935005365,0.4889605624019168,0.0017977180541492999,0.0007250556814328894,True,True
0.56,0.0143772,0.0037080000000000012,0.0014570700738125127,0.5697374692070298,0.002459754003211856,0.0009833499994557821,True,True
0.64,0.0126592,0.0035700000000000003,0.0014391373110304655,0.6487302787951194,0.0006410679779946804,0.0002713594642003545,True,True
0.72,0.012726399999999999,0.0034879999999999963,0.0013671762139534163,0.7294155127834528,0.00402503099758178,0.0015396017106145746,True,True
0.7999999999999999,0.0129098,0.001259000000000005,0.00051801225854221,0.8088057288085111,0.0019259779946878552,0.0007762219889579786,True,True
