WaitTimeDelay,Average_Process_Time,Range_Process_Time,StandardDeviation_Process_Time,Average_Elapsed_Time,Range_Elapsed_Time,StandardDeviation_ElapsedTime,Correctness,Timeout
0,0.065358,0.035146999999999984,0.013305570543948871,0.028002235991880297,0.057414442009758204,0.024535641616693152,True,False
0.08,0.0493098,0.02783499999999999,0.012541892468842169,0.42005906261038034,0.0023307710071094334,0.0009037219474453699,True,False
0.16,0.0443436,0.018958000000000003,0.00802114722468052,0.8200127961928956,0.0013185209827497602,0.000540052070156248,True,False
0.24,0.050154599999999994,0.010235999999999995,0.004095491277002063,1.2205272830091416,0.002157556009478867,0.0008058057154549092,True,False
0.32,0.0545328,0.013264999999999999,0.005794936384465321,1.6209968942101114,0.0021087019704282284,0.0008397622442273335,True,False
0.4,0.040618,0.016469000000000004,0.006914771905131796,2.021255592198577,0.00346798897953704,0.001436799837063119,True,False
0.48000000000000004,0.045796399999999994,0.014994,0.006113763431798783,2.420042605197523,0.003510257985908538,0.0014410645584298565,True,False
0.56,0.047314199999999994,0.021846000000000004,0.009619116497891062,2.8211035632062704,0.0019274679361842573,0.0007267917751316652,True,False
0.64,0.048561599999999996,0.02459800000000001,0.009291508989394568,3.220428558404092,0.0021654829615727067,0.000892047205486763,True,False
0.72,0.040831599999999996,0.014906000000000003,0.007446741958736051,3.6196754402015356,0.0030672780121676624,0.001162636446670287,True,False
0.7999999999999999,0.0476082,0.01782600000000001,0.0066597341688689055,4.022005211596843,0.004214976041112095,0.0015093305920328265,True,False
